City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
318,Calama,CL,-22.4667,-68.9333,36.09,38,0,16.11,clear sky
319,Petrolina,BR,-9.3986,-40.5008,73.45,100,0,2.3,light rain
320,Cabo San Lucas,MX,22.8909,-109.9124,72.52,79,4,7.43,clear sky
321,Komsomolskiy,UZ,40.4272,71.7189,50.72,57,75,2.3,broken clouds
322,Sandwick,GB,60.0,-1.25,48.02,87,40,20.71,light rain
323,Dingle,PH,10.9995,122.6711,82.06,80,98,11.14,overcast clouds
324,Batemans Bay,AU,-35.7167,150.1833,65.1,75,84,4.03,broken clouds
325,Half Moon Bay,US,37.4636,-122.4286,52.32,79,100,14.97,overcast clouds
326,Hammelburg,DE,50.1167,9.9,35.85,90,70,3.8,broken clouds
327,El Silencio,VE,10.5,-66.9167,65.84,93,40,1.01,scattered clouds
328,Tricase,IT,39.9304,18.3553,55.33,88,75,9.22,broken clouds
329,Fortuna,US,40.5982,-124.1573,47.35,96,100,6.91,overcast clouds
330,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.91,99,100,1.99,overcast clouds
331,Hirado,JP,33.3597,129.5531,43.39,60,38,19.6,scattered clouds
332,Mocuba,MZ,-16.8392,36.9856,85.15,40,24,3.83,few clouds
333,Marsa Matruh,EG,31.3525,27.2453,65.71,47,0,8.32,clear sky
334,Ulaangom,MN,49.9811,92.0667,-8.27,86,77,2.1,broken clouds
335,Rocha,UY,-34.4833,-54.3333,69.94,87,100,9.24,overcast clouds
336,Marovoay,MG,-16.1,46.6333,93.11,45,6,3.85,clear sky
337,Goure,NE,13.9835,10.2704,71.94,23,16,11.3,few clouds
338,Siocon,PH,7.7061,122.1353,83.07,80,100,4.7,overcast clouds
339,Balaipungut,ID,1.05,101.2833,83.97,81,100,4.56,light rain
340,Lufilufi,WS,-13.8745,-171.5986,76.78,71,12,3.42,light rain
341,Narasannapeta,IN,18.4167,84.05,83.97,56,28,10.13,scattered clouds
342,Edd,ER,13.9297,41.6925,88.21,40,0,13.58,clear sky
343,Sterlibashevo,RU,53.4376,55.2578,11.8,93,100,3.67,overcast clouds
